id_ingrediente,ingrediente
1,ovo
2,acucar
3,leite
4,cebola
5,farinha trigo
6,creme leite
7,leite condensado
8,agua
9,alho
10,oleo
11,fermento
12,margarina
13,manteiga
14,tomate
15,azeite
16,queijo
17,mussarela
18,coco
19,oregano
20,batata
21,maizena
22,chocolate po
23,cenoura
24,amido milho
25,queijo parmesao
26,presunto
27,cheiro verde
28,leite coco
29,maionese
30,pimenta
31,molho tomate
32,peito frango
33,salsinha
34,creme leite soro
35,bacon
36,milho verde
37,carne moida
38,requeijao
39,azeitona
40,suco limao
41,pimentao
42,trigo
43,caldo galinha
44,morango
45,arroz
46,ervilha
47,canela po
48,limao
49,milho
50,salsa
51,leite morno
52,chocolate amargo
53,essencia baunilha
54,pimenta reino
55,cebolinha
56,coentro
57,pimentao verde
58,extrato tomate
59,caldo carne
60,banana
61,manteiga margarina
62,farinha rosca
63,oleo fritar
64,leite po
65,fermento biologico
66,mostarda
67,batata palha
68,ovo neve
69,farinha
70,vinagre
71,maca
72,abacaxi
73,pimentao vermelho
74,requeijao cremoso
75,achocolatado
76,louro
77,fuba
78,frango
79,manjericao
80,gelatina
81,nescau
82,palmito
83,pao
84,suco laranja
85,iogurte natural
86,acucar mascavo
87,achocolatado po
88,canela
89,creme cebola
90,biscoito maizena
91,chocolate leite
92,leite integral
93,po royal
94,agua fervente
95,catchup
96,ovo ovo
97,cebola cortada
98,mel
99,farinha trigo fermento
100,chocolate
101,leite vaca
102,aveia
103,noze
104,fermento pao
105,atum
106,gelo
107,limoe
108,macarrao
109,azeitonas verde
110,baunilha
111,oleo soja
112,colorau
113,raspas limao
114,acucar cristal
115,hortela
116,pimentao amarelo
117,bolacha maizena
118,ricota
119,fermento quimico
120,polvilho doce
121,peitos frango
122,linguica calabresa
123,mandioca
124,nata
125,salsicha
126,bananas nanica
127,berinjela
128,camarao
129,leite moca
130,parmesao
131,ovo batido
132,salsinha cebolinha
133,molho ingle
134,mesma leite
135,macarrao parafuso
136,laranja
137,caldo legume
138,suco limoe
139,calabresa
140,cafe
141,gelatina morango
