,id_ingrediente,ingrediente
0,1,ovo
1,2,açúcar
2,3,leite
3,4,farinha de trigo
4,5,cebola
5,6,creme de leite
6,7,leite condensado
7,8,óleo
8,9,alho
9,10,fermento
10,11,margarina
11,13,manteiga
12,14,azeite
13,15,mussarela
14,16,tomate
15,17,queijo
16,19,coco
17,20,maizena
18,21,chocolate em pó
19,22,amido de milho
20,23,queijo parmesão
21,24,presunto
22,25,leite de coco
23,26,cenoura
24,28,maionese
25,29,molho de tomate
26,32,requeijão
27,33,batatas
28,34,milho verde
29,35,azeitona
30,36,carne moída
31,37,trigo
32,38,pimentão
33,39,bacon
34,40,canela em pó
35,41,caldo de galinha
36,42,ervilha
37,43,arroz
38,44,essência de baunilha
39,45,milho
40,46,morango
41,47,salsa
42,49,limão
43,51,chocolate meio amargo
44,53,açúcar refinado
45,54,extrato de tomate
46,55,peito de frango
47,56,mostarda
48,57,farinha de rosca
49,58,leite em pó
50,59,batata palha
51,60,manteiga ou margarina
52,61,vinagre
53,64,suco de limão
54,65,caldo de carne
55,66,pimentão verde
56,67,farinha
57,70,requeijão cremoso
58,71,achocolatado
59,72,nescau
60,73,fubá
61,74,batata
62,75,fermento biológico
63,76,gema
64,77,manteiga sem sal
65,78,suco de  limão
66,79,iogurte natural
67,80,açúcar mascavo
68,81,pimentão vermelho
69,82,achocolatado em pó
70,83,açucar
71,84,canela
72,85,pó royal
73,86,palmito
74,87,catchup
75,90,chocolate ao leite
76,92,creme de cebola
77,93,abacaxi
78,94,mel
79,95,leite integral
80,96,água quente
81,98,baunilha
82,99,l de leite
83,100,suco de laranja
84,101,nozes
85,102,azeitona verdes
86,103,bananas
87,104,colorau
88,105,margarina sem sal
89,106,limões
90,107,tempero
91,108,óleo de soja
92,109,atum
93,110,açúcar cristal
94,111,polvilho doce
95,112,fermento químico
96,113,hortelã
97,114,leite moça
98,115,molho inglês
99,116,leite de vaca
100,117,gelatina sem sabor
101,118,noz-moscada
102,119,salsinha e cebolinha
103,120,parmesão
104,121,creme de leite com soro
105,122,creme de leite fresco
106,123,caixinhas de creme de leite
107,124,suco de  limões
108,125,peito de frango  e desfiado
109,126,leite desnatado
110,127,azeite extra virgem
111,128,pimentão amarelo
112,129,ricota
113,130,maçãs
114,131,molho de tomate pronto
115,132,macarrão parafuso
116,133,chocolate
117,134,margarina ou manteiga
118,135,caldo de legumes
119,136,chocolate branco
120,137,doce de leite
121,138,polvilho azedo
122,139,chantilly
123,140,pão de forma
124,141,queijo prato
125,142,mandioca
126,143,nata
127,144,raspas de limão
128,145,farinha de trigo com fermento
129,146,fermento para pão
130,147,cebolinha verde
131,148,massa de tomate
132,149,vinho branco seco
133,150,cominho
134,151,alecrim
135,152,shoyu
136,153,bicarbonato de sódio
137,154,gema para pincelar
138,155,margarina para untar
139,156,farinha de mandioca
140,157,camarão
141,158,biscoito maizena
142,159,champignon
143,160,gelo
144,161,ovo de ovo
145,162,chocolate granulado
146,163,goiabada
147,164,azeitona pretas
148,165,sal e pimenta do reino
149,166,molho shoyu
150,167,linguiça calabresa
151,168,café de sal
152,169,calabresa
153,170,tomate maduros
154,171,açúcar de confeiteiro
155,172,brócolis
156,173,peito de frango desfiado
157,174,pimenta calabresa
158,175,fermento royal
159,176,ovo batidos
160,177,farinha de trigo integral
161,178,azeitona sem caroço
162,179,macarrão
163,180,farinha de trigo sem fermento
164,181,vinho branco
165,182,frango
166,183,peitos de frango
167,184,alface
168,185,uvas passas
169,186,a mesma  de leite
170,187,farinha de milho
171,188,tempero verde
172,189,salsa e cebolinha
173,190,repolho
174,191,aveia em flocos
175,192,ovo peneiradas
176,193,cacau em pó
177,194,gengibre
178,195,berinjelas
179,196,temperos
180,197,leite quente
181,198,agua
182,199,manteiga para untar
183,200,bolacha maizena
184,201,americano de leite
185,202,azeite de dendê
186,203,sardinha
187,204,couve
188,205,farinha de trigo peneirada
189,206,noz moscada
190,207,alhos
191,208,cebola bem
192,209,bananas nanicas
193,210,e  de açúcar
194,211,conhaque
195,212,aveia
196,213,maçã
197,214,recheio
198,215,água fria
199,216,tomate sem pele e sem sementes
200,217,gelatina em pó sem sabor
201,218,gelatina de morango
202,219,pomarola
203,220,alho bem
204,221,fermento biológico seco
205,222,cebola  bem
206,223,curry
207,224,catupiry
208,225,bacalhau
209,226,tomate sem sementes
210,227,sal grosso
211,228,salsichas
212,229,alcaparras
213,230,cubos de caldo de galinha
214,231,água gelada
215,232,abobrinha
216,233,banana
217,234,água fervendo
218,235,espinafre
219,236,sopa  de fermento
220,237,e  de leite
221,238,óleo ou azeite
222,239,oleo
223,240,gotas de baunilha
224,241,açafrão
225,242,frango desfiado
226,243,requeijão de leite
227,244,amendoim
228,245,passas
229,246,tomate sem pele
230,247,vinagre branco
231,248,caldo de frango
232,249,macarrão penne
233,250,ketchup
234,251,uva passa
235,252,sorvete de creme
236,253,sazón
237,254,cebola em
238,255,salsicha
239,256,fermento químico em pó
240,257,coco fresco
241,258,ovo batidas em neve
242,259,cream cheese
243,260,l de água
244,261,azeitona verde
245,262,ovo ovo e ovo separadas
246,263,café solúvel
247,264,vagem
248,265,leite gelado
249,266,biscoito de maizena
250,267,leite ninho
251,268,molho pronto
252,269,fermento biológico fresco
253,270,fio de azeite
254,271,amido de milho maizena
255,272,margarina light
256,273,americano de óleo
257,274,pimenta - do - reino
258,275,biscoito champagne
259,276,leite condesado
260,277,molho de pimenta
261,278,suco de maracujá
262,279,couve-flor
263,280,carne seca
264,281,tomilho
265,282,e  de farinha de trigo
266,283,royal
267,284,gotas de essência de baunilha
268,285,cerveja
269,286,vinho tinto
270,287,fermento para bolo
271,288,pão de forma sem casca
272,289,tomate em
273,290,chuchu
274,291,erva doce
275,292,rum
276,293,sopa  de sal
277,294,filé de frango
278,295,sal e orégano
279,296,farinha de rosca para empanar
280,297,milho verde escorrido
281,298,creme de leite gelado
282,299,queijo minas
283,300,gelatina incolor
284,301,laranjas
285,302,mussarela em
286,303,fermento de pão
287,304,aipim
288,305,gema de ovo
289,306,bis
290,307,queijo gorgonzola
291,308,óleo para untar
292,309,bolacha maria
293,310,vinho tinto seco
294,311,bicarbonato
295,312,cebola  em
296,313,granulado
297,314,gelatina sabor morango
298,315,cubos de gelo
299,316,frutas cristalizadas
300,317,caldo knorr
301,318,pêssego em calda
302,319,cebola roxa
303,320,água filtrada
304,321,arroz branco
305,322,cravos
306,323,margarina e farinha de trigo para untar
307,324,vodka
308,325,amendoim torrado e moído
309,326,pimentões
310,327,manteiga em temperatura ambiente
311,328,milharina
312,329,berinjela
313,330,leite frio
314,331,queijo  para polvilhar
315,332,trigo para quibe
316,333,ovo batido
317,334,americano de açúcar
318,335,manjericão fresco
319,336,creme de leite sem o soro
320,337,óleo de milho
321,338,caldos de galinha
322,339,espaguete
323,340,polpa de tomate
324,341,beterraba
325,342,rúcula
326,343,cebola  cortada em
327,344,farinha trigo
328,345,macarrão espaguete
329,346,gordura vegetal
